year,field,source,classification,fetched,sha256,notes
2017,pre_lottery_rank,Wikipedia:2017_NBA_draft rev=1352743053,secondary,2026-05-10T17:27:19Z,937d4a5cfeafe8630a2ff1686beef287d3f7302238b0a1130b3ff9b488137ce0,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2017,record_wins,Wikipedia:2017_NBA_draft rev=1352743053,secondary,2026-05-10T17:27:19Z,937d4a5cfeafe8630a2ff1686beef287d3f7302238b0a1130b3ff9b488137ce0,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2017,record_losses,Wikipedia:2017_NBA_draft rev=1352743053,secondary,2026-05-10T17:27:19Z,937d4a5cfeafe8630a2ff1686beef287d3f7302238b0a1130b3ff9b488137ce0,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2017,combinations,Wikipedia:2017_NBA_draft rev=1352743053,secondary,2026-05-10T17:27:19Z,937d4a5cfeafe8630a2ff1686beef287d3f7302238b0a1130b3ff9b488137ce0,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2017,won_pick_position,Wikipedia:2017_NBA_draft rev=1352743053,secondary,2026-05-10T17:27:19Z,937d4a5cfeafe8630a2ff1686beef287d3f7302238b0a1130b3ff9b488137ce0,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2018,pre_lottery_rank,Wikipedia:2018_NBA_draft rev=1352290807,secondary,2026-05-10T17:27:20Z,8f61b254d3fcac57cd1b81534806782c2dcefd16c6dc37d318b8674768088168,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2018,record_wins,Wikipedia:2018_NBA_draft rev=1352290807,secondary,2026-05-10T17:27:20Z,8f61b254d3fcac57cd1b81534806782c2dcefd16c6dc37d318b8674768088168,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2018,record_losses,Wikipedia:2018_NBA_draft rev=1352290807,secondary,2026-05-10T17:27:20Z,8f61b254d3fcac57cd1b81534806782c2dcefd16c6dc37d318b8674768088168,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2018,combinations,Wikipedia:2018_NBA_draft rev=1352290807,secondary,2026-05-10T17:27:20Z,8f61b254d3fcac57cd1b81534806782c2dcefd16c6dc37d318b8674768088168,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2018,won_pick_position,Wikipedia:2018_NBA_draft rev=1352290807,secondary,2026-05-10T17:27:20Z,8f61b254d3fcac57cd1b81534806782c2dcefd16c6dc37d318b8674768088168,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2019,pre_lottery_rank,Wikipedia:2019_NBA_draft rev=1351447887,secondary,2026-05-10T17:24:00Z,712d8fc38ecc5bd8df949e153d0e0c452c653c36d23dade63bd4e8a3f569e6e7,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
2019,record_wins,Wikipedia:2019_NBA_draft rev=1351447887,secondary,2026-05-10T17:24:00Z,712d8fc38ecc5bd8df949e153d0e0c452c653c36d23dade63bd4e8a3f569e6e7,"Wikipedia {year}_NBA_draft 'Draft lottery' section. Wikipedia is a secondary compilation that cites primary sources (NBA.com press releases, ESPN reports) via inline refs; those citations are preserved in data/raw/wiki/*.wikitext."
